r, t1, t2
1, 69.6, 69.1
2, 69.6, 69.2
3, 69.6, 69.2
4, 69.6, 69.2
5, 69.6, 69.3
6, 69.6, 69.1
7, 69.6, 69.1
8, 69.6, 69.1
9, 69.6, 69.1
10, 69.6, 69.1
11, 69.6, 69.3
12, 69.6, 69.1
13, 69.5, 69.1
14, 69.5, 69.2
15, 69.5, 69.1
16, 69.5, 69.0
17, 69.5, 69.0
18, 69.5, 69.0
19, 69.5, 69.1
20, 69.5, 69.0
21, 69.5, 69.1
22, 69.5, 69.1
23, 69.5, 69.1
24, 69.5, 69.1
25, 69.5, 69.1
26, 69.5, 69.0
27, 69.5, 69.0
28, 69.5, 69.0
29, 69.5, 68.9
30, 69.5, 68.9
31, 69.5, 68.9
32, 69.4, 69.0
33, 69.4, 68.9
34, 69.4, 68.9
35, 69.4, 68.9
36, 69.4, 68.9
37, 69.4, 68.9
38, 69.4, 68.9
39, 69.4, 68.9
40, 69.4, 68.9
41, 69.3, 68.9
42, 69.3, 68.9
43, 69.3, 68.9
44, 69.3, 68.8
45, 69.3, 68.8
46, 69.3, 68.8
47, 69.3, 68.9
48, 69.3, 68.9
49, 69.3, 68.8
50, 69.3, 68.8
51, 69.3, 68.8
52, 69.3, 68.8
53, 69.3, 68.7
54, 69.3, 68.8
55, 69.3, 68.8
56, 69.3, 68.7
57, 69.3, 68.8
58, 69.3, 68.8
59, 69.3, 68.8
60, 69.3, 68.8
61, 69.3, 68.8
62, 69.3, 68.9
63, 69.3, 68.9
64, 69.3, 68.9
65, 69.2, 68.9
66, 69.3, 68.9
67, 69.3, 68.9
68, 69.3, 68.8
69, 69.3, 68.8
70, 69.3, 68.8
71, 69.3, 68.9
72, 69.3, 68.9
73, 69.3, 68.8
74, 69.3, 68.8
75, 69.3, 68.9
76, 69.3, 68.9
77, 69.3, 68.9
78, 69.3, 68.9
79, 69.3, 68.9
80, 69.3, 68.9
81, 69.3, 68.9
82, 69.3, 68.8
83, 69.3, 68.8
84, 69.3, 68.7
