FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/23/2021 3:36:23 PM,1/23/2021 4:59:23 PM,1:23:00,0:01:00,84,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/23/2021 3:36:23 PM,69.5,°F,69.4,°F,69.3,°F,1/23/2021 4:46:23 PM,0.0 °F
T2,1/23/2021 3:41:23 PM,69.1,°F,68.8,°F,68.7,°F,1/23/2021 3:36:23 PM,0.0 °F
T1-T2,1/23/2021 3:36:23 PM,0.8,°F,0.6,°F,0.3,°F,1/23/2021 4:20:23 PM,
Reading,T1,,T2,,T1-T2,,Time Stamp
1,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:36:23 PM
2,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:37:23 PM
3,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:38:23 PM
4,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:39:23 PM
5,69.5,°F,69,°F,0.5,°F,1/23/2021 3:40:23 PM
6,69.5,°F,69.1,°F,0.4,°F,1/23/2021 3:41:23 PM
7,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:42:23 PM
8,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:43:23 PM
9,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:44:23 PM
10,69.5,°F,68.8,°F,0.7,°F,1/23/2021 3:45:23 PM
11,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:46:23 PM
12,69.5,°F,69,°F,0.5,°F,1/23/2021 3:47:23 PM
13,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:48:23 PM
14,69.5,°F,68.9,°F,0.6,°F,1/23/2021 3:49:23 PM
15,69.5,°F,68.8,°F,0.7,°F,1/23/2021 3:50:23 PM
16,69.5,°F,68.8,°F,0.7,°F,1/23/2021 3:51:23 PM
17,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:52:23 PM
18,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:53:23 PM
19,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:54:23 PM
20,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:55:23 PM
21,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:56:23 PM
22,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:57:23 PM
23,69.5,°F,68.8,°F,0.7,°F,1/23/2021 3:58:23 PM
24,69.5,°F,68.7,°F,0.8,°F,1/23/2021 3:59:23 PM
25,69.5,°F,68.7,°F,0.8,°F,1/23/2021 4:00:23 PM
26,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:01:23 PM
27,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:02:23 PM
28,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:03:23 PM
29,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:04:23 PM
30,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:05:23 PM
31,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:06:23 PM
32,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:07:23 PM
33,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:08:23 PM
34,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:09:23 PM
35,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:10:23 PM
36,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:11:23 PM
37,69.4,°F,69,°F,0.4,°F,1/23/2021 4:12:23 PM
38,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:13:23 PM
39,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:14:23 PM
40,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:15:23 PM
41,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:16:23 PM
42,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:17:23 PM
43,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:18:23 PM
44,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:19:23 PM
45,69.4,°F,69.1,°F,0.3,°F,1/23/2021 4:20:23 PM
46,69.4,°F,69,°F,0.4,°F,1/23/2021 4:21:23 PM
47,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:22:23 PM
48,69.4,°F,69,°F,0.4,°F,1/23/2021 4:23:23 PM
49,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:24:23 PM
50,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:25:23 PM
51,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:26:23 PM
52,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:27:23 PM
53,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:28:23 PM
54,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:29:23 PM
55,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:30:23 PM
56,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:31:23 PM
57,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:32:23 PM
58,69.4,°F,68.7,°F,0.7,°F,1/23/2021 4:33:23 PM
59,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:34:23 PM
60,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:35:23 PM
61,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:36:23 PM
62,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:37:23 PM
63,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:38:23 PM
64,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:39:23 PM
65,69.4,°F,68.8,°F,0.6,°F,1/23/2021 4:40:23 PM
66,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:41:23 PM
67,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:42:23 PM
68,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:43:23 PM
69,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:44:23 PM
70,69.4,°F,68.9,°F,0.5,°F,1/23/2021 4:45:23 PM
71,69.3,°F,68.8,°F,0.5,°F,1/23/2021 4:46:23 PM
