FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/23/2021 11:32:06 PM,1/24/2021 7:50:06 AM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/24/2021 7:29:06 AM,70,°F,69.2,°F,68.6,°F,1/24/2021 2:42:06 AM,0.0 °F
T2,1/24/2021 7:14:06 AM,69.6,°F,68.7,°F,68.3,°F,1/24/2021 2:13:06 AM,0.0 °F
T1-T2,1/24/2021 7:30:06 AM,0.9,°F,0.4,°F,-0.2,°F,1/24/2021 4:29:06 AM,
Reading,T1,,T2,,T1-T2,,Time Stamp
1,69.3,°F,69.3,°F,0,°F,1/23/2021 11:32:06 PM
2,69.3,°F,69.1,°F,0.2,°F,1/23/2021 11:33:06 PM
3,69.3,°F,68.9,°F,0.4,°F,1/23/2021 11:34:06 PM
4,69.4,°F,68.9,°F,0.5,°F,1/23/2021 11:35:06 PM
5,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:36:06 PM
6,69.4,°F,68.8,°F,0.6,°F,1/23/2021 11:37:06 PM
7,69.4,°F,68.9,°F,0.5,°F,1/23/2021 11:38:06 PM
8,69.4,°F,68.8,°F,0.6,°F,1/23/2021 11:39:06 PM
9,69.4,°F,68.8,°F,0.6,°F,1/23/2021 11:40:06 PM
10,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:41:06 PM
11,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:42:06 PM
12,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:43:06 PM
13,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:44:06 PM
14,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:45:06 PM
15,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:46:06 PM
16,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:47:06 PM
17,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:48:06 PM
18,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:49:06 PM
19,69.4,°F,68.7,°F,0.7,°F,1/23/2021 11:50:06 PM
20,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:51:06 PM
21,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:52:06 PM
22,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:53:06 PM
23,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:54:06 PM
24,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:55:06 PM
25,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:56:06 PM
26,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:57:06 PM
27,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:58:06 PM
28,69.3,°F,68.7,°F,0.6,°F,1/23/2021 11:59:06 PM
29,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:00:06 AM
30,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:01:06 AM
31,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:02:06 AM
32,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:03:06 AM
33,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:04:06 AM
34,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:05:06 AM
35,69.2,°F,68.6,°F,0.6,°F,1/24/2021 12:06:06 AM
36,69.2,°F,68.6,°F,0.6,°F,1/24/2021 12:07:06 AM
37,69.2,°F,68.5,°F,0.7,°F,1/24/2021 12:08:06 AM
38,69.2,°F,68.6,°F,0.6,°F,1/24/2021 12:09:06 AM
39,69.2,°F,68.7,°F,0.5,°F,1/24/2021 12:10:06 AM
40,69.1,°F,68.6,°F,0.5,°F,1/24/2021 12:11:06 AM
41,69.1,°F,68.7,°F,0.4,°F,1/24/2021 12:12:06 AM
42,69.1,°F,68.8,°F,0.3,°F,1/24/2021 12:13:06 AM
43,69.1,°F,68.8,°F,0.3,°F,1/24/2021 12:14:06 AM
44,69.1,°F,68.7,°F,0.4,°F,1/24/2021 12:15:06 AM
45,69.1,°F,68.8,°F,0.3,°F,1/24/2021 12:16:06 AM
46,69.1,°F,69,°F,0.1,°F,1/24/2021 12:17:06 AM
47,69.1,°F,69,°F,0.1,°F,1/24/2021 12:18:06 AM
48,69.1,°F,69.1,°F,0,°F,1/24/2021 12:19:06 AM
49,69.2,°F,69.1,°F,0.1,°F,1/24/2021 12:20:06 AM
50,69.2,°F,69.1,°F,0.1,°F,1/24/2021 12:21:06 AM
51,69.2,°F,69,°F,0.2,°F,1/24/2021 12:22:06 AM
52,69.2,°F,69.1,°F,0.1,°F,1/24/2021 12:23:06 AM
53,69.2,°F,69,°F,0.2,°F,1/24/2021 12:24:06 AM
54,69.3,°F,68.9,°F,0.4,°F,1/24/2021 12:25:06 AM
55,69.3,°F,68.9,°F,0.4,°F,1/24/2021 12:26:06 AM
56,69.3,°F,68.9,°F,0.4,°F,1/24/2021 12:27:06 AM
57,69.3,°F,68.8,°F,0.5,°F,1/24/2021 12:28:06 AM
58,69.3,°F,68.8,°F,0.5,°F,1/24/2021 12:29:06 AM
59,69.3,°F,68.8,°F,0.5,°F,1/24/2021 12:30:06 AM
60,69.3,°F,68.8,°F,0.5,°F,1/24/2021 12:31:06 AM
61,69.3,°F,68.9,°F,0.4,°F,1/24/2021 12:32:06 AM
62,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:33:06 AM
63,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:34:06 AM
64,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:35:06 AM
65,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:36:06 AM
66,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:37:06 AM
67,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:38:06 AM
68,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:39:06 AM
69,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:40:06 AM
70,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:41:06 AM
71,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:42:06 AM
72,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:43:06 AM
73,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:44:06 AM
74,69.3,°F,68.7,°F,0.6,°F,1/24/2021 12:45:06 AM
75,69.3,°F,68.6,°F,0.7,°F,1/24/2021 12:46:06 AM
76,69.2,°F,68.6,°F,0.6,°F,1/24/2021 12:47:06 AM
77,69.2,°F,68.5,°F,0.7,°F,1/24/2021 12:48:06 AM
78,69.2,°F,68.5,°F,0.7,°F,1/24/2021 12:49:06 AM
79,69.2,°F,68.5,°F,0.7,°F,1/24/2021 12:50:06 AM
80,69.2,°F,68.6,°F,0.6,°F,1/24/2021 12:51:06 AM
81,69.2,°F,68.5,°F,0.7,°F,1/24/2021 12:52:06 AM
82,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:53:06 AM
83,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:54:06 AM
84,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:55:06 AM
85,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:56:06 AM
86,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:57:06 AM
87,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:58:06 AM
88,69.1,°F,68.5,°F,0.6,°F,1/24/2021 12:59:06 AM
89,69.1,°F,68.7,°F,0.4,°F,1/24/2021 1:00:06 AM
90,69.1,°F,68.6,°F,0.5,°F,1/24/2021 1:01:06 AM
91,69.1,°F,68.7,°F,0.4,°F,1/24/2021 1:02:06 AM
92,69.1,°F,68.6,°F,0.5,°F,1/24/2021 1:03:06 AM
93,69,°F,68.7,°F,0.3,°F,1/24/2021 1:04:06 AM
94,69,°F,68.7,°F,0.3,°F,1/24/2021 1:05:06 AM
95,69,°F,68.7,°F,0.3,°F,1/24/2021 1:06:06 AM
96,69,°F,68.6,°F,0.4,°F,1/24/2021 1:07:06 AM
97,69,°F,68.5,°F,0.5,°F,1/24/2021 1:08:06 AM
98,69,°F,68.6,°F,0.4,°F,1/24/2021 1:09:06 AM
99,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:10:06 AM
100,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:11:06 AM
101,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:12:06 AM
102,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:13:06 AM
103,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:14:06 AM
104,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:15:06 AM
105,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:16:06 AM
106,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:17:06 AM
107,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:18:06 AM
108,68.9,°F,68.4,°F,0.5,°F,1/24/2021 1:19:06 AM
109,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:20:06 AM
110,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:21:06 AM
111,68.9,°F,68.5,°F,0.4,°F,1/24/2021 1:22:06 AM
112,68.9,°F,68.4,°F,0.5,°F,1/24/2021 1:23:06 AM
113,68.8,°F,68.5,°F,0.3,°F,1/24/2021 1:24:06 AM
114,68.8,°F,68.5,°F,0.3,°F,1/24/2021 1:25:06 AM
115,68.8,°F,68.4,°F,0.4,°F,1/24/2021 1:26:06 AM
116,68.8,°F,68.4,°F,0.4,°F,1/24/2021 1:27:06 AM
117,68.8,°F,68.6,°F,0.2,°F,1/24/2021 1:28:06 AM
118,68.8,°F,68.5,°F,0.3,°F,1/24/2021 1:29:06 AM
119,68.8,°F,68.5,°F,0.3,°F,1/24/2021 1:30:06 AM
120,68.8,°F,68.6,°F,0.2,°F,1/24/2021 1:31:06 AM
121,68.8,°F,68.6,°F,0.2,°F,1/24/2021 1:32:06 AM
122,68.8,°F,68.7,°F,0.1,°F,1/24/2021 1:33:06 AM
123,68.8,°F,68.7,°F,0.1,°F,1/24/2021 1:34:06 AM
124,68.8,°F,68.9,°F,-0.1,°F,1/24/2021 1:35:06 AM
125,68.8,°F,68.8,°F,0,°F,1/24/2021 1:36:06 AM
126,68.9,°F,68.9,°F,0,°F,1/24/2021 1:37:06 AM
127,68.9,°F,68.9,°F,0,°F,1/24/2021 1:38:06 AM
128,68.9,°F,68.9,°F,0,°F,1/24/2021 1:39:06 AM
129,68.9,°F,68.9,°F,0,°F,1/24/2021 1:40:06 AM
130,68.9,°F,68.8,°F,0.1,°F,1/24/2021 1:41:06 AM
131,68.9,°F,68.8,°F,0.1,°F,1/24/2021 1:42:06 AM
132,68.9,°F,68.7,°F,0.2,°F,1/24/2021 1:43:06 AM
133,68.9,°F,68.7,°F,0.2,°F,1/24/2021 1:44:06 AM
134,69,°F,68.7,°F,0.3,°F,1/24/2021 1:45:06 AM
135,69,°F,68.7,°F,0.3,°F,1/24/2021 1:46:06 AM
136,69,°F,68.7,°F,0.3,°F,1/24/2021 1:47:06 AM
137,69,°F,68.7,°F,0.3,°F,1/24/2021 1:48:06 AM
138,69,°F,68.6,°F,0.4,°F,1/24/2021 1:49:06 AM
139,69,°F,68.6,°F,0.4,°F,1/24/2021 1:50:06 AM
140,69,°F,68.7,°F,0.3,°F,1/24/2021 1:51:06 AM
141,69,°F,68.7,°F,0.3,°F,1/24/2021 1:52:06 AM
142,69,°F,68.6,°F,0.4,°F,1/24/2021 1:53:06 AM
143,69.1,°F,68.6,°F,0.5,°F,1/24/2021 1:54:06 AM
144,69,°F,68.5,°F,0.5,°F,1/24/2021 1:55:06 AM
145,69,°F,68.5,°F,0.5,°F,1/24/2021 1:56:06 AM
146,69,°F,68.5,°F,0.5,°F,1/24/2021 1:57:06 AM
147,69,°F,68.5,°F,0.5,°F,1/24/2021 1:58:06 AM
148,69,°F,68.5,°F,0.5,°F,1/24/2021 1:59:06 AM
149,69,°F,68.5,°F,0.5,°F,1/24/2021 2:00:06 AM
150,69,°F,68.5,°F,0.5,°F,1/24/2021 2:01:06 AM
151,69,°F,68.5,°F,0.5,°F,1/24/2021 2:02:06 AM
152,69,°F,68.5,°F,0.5,°F,1/24/2021 2:03:06 AM
153,69,°F,68.5,°F,0.5,°F,1/24/2021 2:04:06 AM
154,68.9,°F,68.5,°F,0.4,°F,1/24/2021 2:05:06 AM
155,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:06:06 AM
156,68.9,°F,68.5,°F,0.4,°F,1/24/2021 2:07:06 AM
157,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:08:06 AM
158,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:09:06 AM
159,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:10:06 AM
160,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:11:06 AM
161,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:12:06 AM
162,68.9,°F,68.3,°F,0.6,°F,1/24/2021 2:13:06 AM
163,68.9,°F,68.5,°F,0.4,°F,1/24/2021 2:14:06 AM
164,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:15:06 AM
165,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:16:06 AM
166,68.9,°F,68.4,°F,0.5,°F,1/24/2021 2:17:06 AM
167,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:18:06 AM
168,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:19:06 AM
169,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:20:06 AM
170,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:21:06 AM
171,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:22:06 AM
172,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:23:06 AM
173,68.8,°F,68.5,°F,0.3,°F,1/24/2021 2:24:06 AM
174,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:25:06 AM
175,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:26:06 AM
176,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:27:06 AM
177,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:28:06 AM
178,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:29:06 AM
179,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:30:06 AM
180,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:31:06 AM
181,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:32:06 AM
182,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:33:06 AM
183,68.7,°F,68.3,°F,0.4,°F,1/24/2021 2:34:06 AM
184,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:35:06 AM
185,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:36:06 AM
186,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:37:06 AM
187,68.7,°F,68.3,°F,0.4,°F,1/24/2021 2:38:06 AM
188,68.7,°F,68.4,°F,0.3,°F,1/24/2021 2:39:06 AM
189,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:40:06 AM
190,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:41:06 AM
191,68.6,°F,68.5,°F,0.1,°F,1/24/2021 2:42:06 AM
192,68.7,°F,68.5,°F,0.2,°F,1/24/2021 2:43:06 AM
193,68.6,°F,68.6,°F,0,°F,1/24/2021 2:44:06 AM
194,68.7,°F,68.7,°F,0,°F,1/24/2021 2:45:06 AM
195,68.7,°F,68.7,°F,0,°F,1/24/2021 2:46:06 AM
196,68.7,°F,68.7,°F,0,°F,1/24/2021 2:47:06 AM
197,68.7,°F,68.7,°F,0,°F,1/24/2021 2:48:06 AM
198,68.7,°F,68.7,°F,0,°F,1/24/2021 2:49:06 AM
199,68.7,°F,68.8,°F,-0.1,°F,1/24/2021 2:50:06 AM
200,68.7,°F,68.7,°F,0,°F,1/24/2021 2:51:06 AM
201,68.7,°F,68.7,°F,0,°F,1/24/2021 2:52:06 AM
202,68.8,°F,68.7,°F,0.1,°F,1/24/2021 2:53:06 AM
203,68.8,°F,68.7,°F,0.1,°F,1/24/2021 2:54:06 AM
204,68.8,°F,68.7,°F,0.1,°F,1/24/2021 2:55:06 AM
205,68.8,°F,68.6,°F,0.2,°F,1/24/2021 2:56:06 AM
206,68.9,°F,68.6,°F,0.3,°F,1/24/2021 2:57:06 AM
207,68.9,°F,68.6,°F,0.3,°F,1/24/2021 2:58:06 AM
208,68.9,°F,68.5,°F,0.4,°F,1/24/2021 2:59:06 AM
209,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:00:06 AM
210,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:01:06 AM
211,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:02:06 AM
212,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:03:06 AM
213,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:04:06 AM
214,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:05:06 AM
215,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:06:06 AM
216,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:07:06 AM
217,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:08:06 AM
218,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:09:06 AM
219,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:10:06 AM
220,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:11:06 AM
221,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:12:06 AM
222,68.9,°F,68.4,°F,0.5,°F,1/24/2021 3:13:06 AM
223,68.9,°F,68.4,°F,0.5,°F,1/24/2021 3:14:06 AM
224,68.9,°F,68.4,°F,0.5,°F,1/24/2021 3:15:06 AM
225,68.9,°F,68.3,°F,0.6,°F,1/24/2021 3:16:06 AM
226,68.9,°F,68.4,°F,0.5,°F,1/24/2021 3:17:06 AM
227,68.8,°F,68.3,°F,0.5,°F,1/24/2021 3:18:06 AM
228,68.8,°F,68.3,°F,0.5,°F,1/24/2021 3:19:06 AM
229,68.8,°F,68.4,°F,0.4,°F,1/24/2021 3:20:06 AM
230,68.8,°F,68.3,°F,0.5,°F,1/24/2021 3:21:06 AM
231,68.8,°F,68.4,°F,0.4,°F,1/24/2021 3:22:06 AM
232,68.8,°F,68.3,°F,0.5,°F,1/24/2021 3:23:06 AM
233,68.8,°F,68.4,°F,0.4,°F,1/24/2021 3:24:06 AM
234,68.7,°F,68.4,°F,0.3,°F,1/24/2021 3:25:06 AM
235,68.7,°F,68.5,°F,0.2,°F,1/24/2021 3:26:06 AM
236,68.7,°F,68.5,°F,0.2,°F,1/24/2021 3:27:06 AM
237,68.7,°F,68.6,°F,0.1,°F,1/24/2021 3:28:06 AM
238,68.7,°F,68.5,°F,0.2,°F,1/24/2021 3:29:06 AM
239,68.7,°F,68.5,°F,0.2,°F,1/24/2021 3:30:06 AM
240,68.7,°F,68.7,°F,0,°F,1/24/2021 3:31:06 AM
241,68.7,°F,68.6,°F,0.1,°F,1/24/2021 3:32:06 AM
242,68.7,°F,68.7,°F,0,°F,1/24/2021 3:33:06 AM
243,68.7,°F,68.7,°F,0,°F,1/24/2021 3:34:06 AM
244,68.7,°F,68.7,°F,0,°F,1/24/2021 3:35:06 AM
245,68.8,°F,68.7,°F,0.1,°F,1/24/2021 3:36:06 AM
246,68.8,°F,68.7,°F,0.1,°F,1/24/2021 3:37:06 AM
247,68.8,°F,68.6,°F,0.2,°F,1/24/2021 3:38:06 AM
248,68.8,°F,68.7,°F,0.1,°F,1/24/2021 3:39:06 AM
249,68.8,°F,68.6,°F,0.2,°F,1/24/2021 3:40:06 AM
250,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:41:06 AM
251,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:42:06 AM
252,68.9,°F,68.7,°F,0.2,°F,1/24/2021 3:43:06 AM
253,68.9,°F,68.6,°F,0.3,°F,1/24/2021 3:44:06 AM
254,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:45:06 AM
255,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:46:06 AM
256,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:47:06 AM
257,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:48:06 AM
258,68.9,°F,68.5,°F,0.4,°F,1/24/2021 3:49:06 AM
