FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/25/2021 3:30:29 PM,1/25/2021 11:48:29 PM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/25/2021 3:30:29 PM,70.3,°F,69.2,°F,68.7,°F,1/25/2021 10:21:29 PM,0.0 °F
T2,1/25/2021 3:32:29 PM,71.5,°F,69.2,°F,68.8,°F,1/25/2021 9:54:29 PM,0.0 °F
T1-T2,1/25/2021 3:44:29 PM,0.2,°F,0,°F,-1.2,°F,1/25/2021 3:32:29 PM,
Reading,T1,,T2,,T1-T2,,Time Stamp
1,70.3,°F,70.4,°F,-0.1,°F,1/25/2021 3:30:29 PM
2,70.3,°F,70.3,°F,0,°F,1/25/2021 3:31:29 PM
3,70.3,°F,71.5,°F,-1.2,°F,1/25/2021 3:32:29 PM
4,70.3,°F,70.9,°F,-0.6,°F,1/25/2021 3:33:29 PM
5,70.3,°F,70.7,°F,-0.4,°F,1/25/2021 3:34:29 PM
6,70.3,°F,70.5,°F,-0.2,°F,1/25/2021 3:35:29 PM
7,70.3,°F,70.4,°F,-0.1,°F,1/25/2021 3:36:29 PM
8,70.3,°F,70.3,°F,0,°F,1/25/2021 3:37:29 PM
9,70.2,°F,70.3,°F,-0.1,°F,1/25/2021 3:38:29 PM
10,70.2,°F,70.2,°F,0,°F,1/25/2021 3:39:29 PM
11,70.2,°F,70.1,°F,0.1,°F,1/25/2021 3:40:29 PM
12,70.1,°F,70.1,°F,0,°F,1/25/2021 3:41:29 PM
13,70.1,°F,70.1,°F,0,°F,1/25/2021 3:42:29 PM
14,70.1,°F,70,°F,0.1,°F,1/25/2021 3:43:29 PM
15,70.1,°F,69.9,°F,0.2,°F,1/25/2021 3:44:29 PM
16,70,°F,69.9,°F,0.1,°F,1/25/2021 3:45:29 PM
17,70,°F,69.9,°F,0.1,°F,1/25/2021 3:46:29 PM
18,69.9,°F,69.9,°F,0,°F,1/25/2021 3:47:29 PM
19,69.9,°F,69.8,°F,0.1,°F,1/25/2021 3:48:29 PM
20,69.9,°F,69.8,°F,0.1,°F,1/25/2021 3:49:29 PM
21,69.9,°F,69.7,°F,0.2,°F,1/25/2021 3:50:29 PM
22,69.8,°F,69.7,°F,0.1,°F,1/25/2021 3:51:29 PM
23,69.8,°F,69.7,°F,0.1,°F,1/25/2021 3:52:29 PM
24,69.7,°F,69.7,°F,0,°F,1/25/2021 3:53:29 PM
25,69.7,°F,69.7,°F,0,°F,1/25/2021 3:54:29 PM
26,69.7,°F,69.6,°F,0.1,°F,1/25/2021 3:55:29 PM
27,69.7,°F,69.6,°F,0.1,°F,1/25/2021 3:56:29 PM
28,69.7,°F,69.6,°F,0.1,°F,1/25/2021 3:57:29 PM
29,69.7,°F,69.6,°F,0.1,°F,1/25/2021 3:58:29 PM
30,69.6,°F,69.5,°F,0.1,°F,1/25/2021 3:59:29 PM
31,69.6,°F,69.5,°F,0.1,°F,1/25/2021 4:00:29 PM
32,69.6,°F,69.5,°F,0.1,°F,1/25/2021 4:01:29 PM
33,69.6,°F,69.5,°F,0.1,°F,1/25/2021 4:02:29 PM
34,69.5,°F,69.5,°F,0,°F,1/25/2021 4:03:29 PM
35,69.5,°F,69.5,°F,0,°F,1/25/2021 4:04:29 PM
36,69.5,°F,69.5,°F,0,°F,1/25/2021 4:05:29 PM
37,69.5,°F,69.5,°F,0,°F,1/25/2021 4:06:29 PM
38,69.5,°F,69.4,°F,0.1,°F,1/25/2021 4:07:29 PM
39,69.5,°F,69.4,°F,0.1,°F,1/25/2021 4:08:29 PM
40,69.5,°F,69.5,°F,0,°F,1/25/2021 4:09:29 PM
41,69.5,°F,69.5,°F,0,°F,1/25/2021 4:10:29 PM
42,69.5,°F,69.5,°F,0,°F,1/25/2021 4:11:29 PM
43,69.5,°F,69.5,°F,0,°F,1/25/2021 4:12:29 PM
44,69.5,°F,69.5,°F,0,°F,1/25/2021 4:13:29 PM
45,69.5,°F,69.6,°F,-0.1,°F,1/25/2021 4:14:29 PM
46,69.5,°F,69.6,°F,-0.1,°F,1/25/2021 4:15:29 PM
47,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:16:29 PM
48,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:17:29 PM
49,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:18:29 PM
50,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:19:29 PM
51,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:20:29 PM
52,69.5,°F,69.7,°F,-0.2,°F,1/25/2021 4:21:29 PM
53,69.6,°F,69.7,°F,-0.1,°F,1/25/2021 4:22:29 PM
54,69.6,°F,69.8,°F,-0.2,°F,1/25/2021 4:23:29 PM
55,69.6,°F,69.8,°F,-0.2,°F,1/25/2021 4:24:29 PM
56,69.6,°F,69.8,°F,-0.2,°F,1/25/2021 4:25:29 PM
57,69.6,°F,69.8,°F,-0.2,°F,1/25/2021 4:26:29 PM
58,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:27:29 PM
59,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:28:29 PM
60,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:29:29 PM
61,69.7,°F,69.7,°F,0,°F,1/25/2021 4:30:29 PM
62,69.7,°F,69.7,°F,0,°F,1/25/2021 4:31:29 PM
63,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:32:29 PM
64,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:33:29 PM
65,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:34:29 PM
66,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:35:29 PM
67,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:36:29 PM
68,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:37:29 PM
69,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:38:29 PM
70,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:39:29 PM
71,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:40:29 PM
72,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:41:29 PM
73,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:42:29 PM
74,69.7,°F,69.8,°F,-0.1,°F,1/25/2021 4:43:29 PM
75,69.7,°F,69.7,°F,0,°F,1/25/2021 4:44:29 PM
76,69.7,°F,69.7,°F,0,°F,1/25/2021 4:45:29 PM
77,69.7,°F,69.7,°F,0,°F,1/25/2021 4:46:29 PM
78,69.7,°F,69.7,°F,0,°F,1/25/2021 4:47:29 PM
79,69.7,°F,69.7,°F,0,°F,1/25/2021 4:48:29 PM
80,69.7,°F,69.7,°F,0,°F,1/25/2021 4:49:29 PM
81,69.7,°F,69.7,°F,0,°F,1/25/2021 4:50:29 PM
82,69.7,°F,69.7,°F,0,°F,1/25/2021 4:51:29 PM
83,69.7,°F,69.7,°F,0,°F,1/25/2021 4:52:29 PM
84,69.7,°F,69.7,°F,0,°F,1/25/2021 4:53:29 PM
85,69.7,°F,69.7,°F,0,°F,1/25/2021 4:54:29 PM
86,69.7,°F,69.7,°F,0,°F,1/25/2021 4:55:29 PM
87,69.7,°F,69.7,°F,0,°F,1/25/2021 4:56:29 PM
88,69.7,°F,69.7,°F,0,°F,1/25/2021 4:57:29 PM
89,69.7,°F,69.7,°F,0,°F,1/25/2021 4:58:29 PM
90,69.6,°F,69.7,°F,-0.1,°F,1/25/2021 4:59:29 PM
91,69.6,°F,69.7,°F,-0.1,°F,1/25/2021 5:00:29 PM
92,69.6,°F,69.7,°F,-0.1,°F,1/25/2021 5:01:29 PM
93,69.6,°F,69.7,°F,-0.1,°F,1/25/2021 5:02:29 PM
94,69.6,°F,69.6,°F,0,°F,1/25/2021 5:03:29 PM
95,69.6,°F,69.6,°F,0,°F,1/25/2021 5:04:29 PM
96,69.6,°F,69.6,°F,0,°F,1/25/2021 5:05:29 PM
97,69.6,°F,69.6,°F,0,°F,1/25/2021 5:06:29 PM
98,69.6,°F,69.6,°F,0,°F,1/25/2021 5:07:29 PM
99,69.5,°F,69.6,°F,-0.1,°F,1/25/2021 5:08:29 PM
100,69.5,°F,69.6,°F,-0.1,°F,1/25/2021 5:09:29 PM
101,69.5,°F,69.6,°F,-0.1,°F,1/25/2021 5:10:29 PM
102,69.5,°F,69.5,°F,0,°F,1/25/2021 5:11:29 PM
103,69.5,°F,69.5,°F,0,°F,1/25/2021 5:12:29 PM
104,69.5,°F,69.5,°F,0,°F,1/25/2021 5:13:29 PM
105,69.5,°F,69.5,°F,0,°F,1/25/2021 5:14:29 PM
106,69.5,°F,69.5,°F,0,°F,1/25/2021 5:15:29 PM
107,69.5,°F,69.5,°F,0,°F,1/25/2021 5:16:29 PM
108,69.5,°F,69.5,°F,0,°F,1/25/2021 5:17:29 PM
109,69.5,°F,69.5,°F,0,°F,1/25/2021 5:18:29 PM
110,69.5,°F,69.5,°F,0,°F,1/25/2021 5:19:29 PM
111,69.5,°F,69.5,°F,0,°F,1/25/2021 5:20:29 PM
112,69.5,°F,69.5,°F,0,°F,1/25/2021 5:21:29 PM
113,69.5,°F,69.5,°F,0,°F,1/25/2021 5:22:29 PM
114,69.5,°F,69.5,°F,0,°F,1/25/2021 5:23:29 PM
115,69.5,°F,69.5,°F,0,°F,1/25/2021 5:24:29 PM
116,69.5,°F,69.5,°F,0,°F,1/25/2021 5:25:29 PM
117,69.5,°F,69.5,°F,0,°F,1/25/2021 5:26:29 PM
118,69.5,°F,69.5,°F,0,°F,1/25/2021 5:27:29 PM
119,69.5,°F,69.5,°F,0,°F,1/25/2021 5:28:29 PM
120,69.5,°F,69.5,°F,0,°F,1/25/2021 5:29:29 PM
121,69.5,°F,69.5,°F,0,°F,1/25/2021 5:30:29 PM
122,69.5,°F,69.5,°F,0,°F,1/25/2021 5:31:29 PM
123,69.5,°F,69.5,°F,0,°F,1/25/2021 5:32:29 PM
