FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/26/2021 12:28:03 AM,1/26/2021 8:46:03 AM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/26/2021 8:27:03 AM,70.1,°F,69.2,°F,68.1,°F,1/26/2021 12:30:03 AM,0.0 °F
T2,1/26/2021 8:13:03 AM,70.3,°F,69.3,°F,68.5,°F,1/26/2021 2:42:03 AM,0.0 °F
T1-T2,1/26/2021 1:29:03 AM,0.2,°F,-0.1,°F,-1.2,°F,1/26/2021 12:30:03 AM,
Reading,T1,,T2,,T1-T2,,Time Stamp
1,68.8,°F,69.5,°F,-0.7,°F,1/26/2021 12:28:03 AM
2,68.2,°F,69.3,°F,-1.1,°F,1/26/2021 12:29:03 AM
3,68.1,°F,69.3,°F,-1.2,°F,1/26/2021 12:30:03 AM
4,68.1,°F,69.2,°F,-1.1,°F,1/26/2021 12:31:03 AM
5,68.2,°F,69.1,°F,-0.9,°F,1/26/2021 12:32:03 AM
6,68.3,°F,69.1,°F,-0.8,°F,1/26/2021 12:33:03 AM
7,68.3,°F,69.1,°F,-0.8,°F,1/26/2021 12:34:03 AM
8,68.4,°F,69.1,°F,-0.7,°F,1/26/2021 12:35:03 AM
9,68.5,°F,69.1,°F,-0.6,°F,1/26/2021 12:36:03 AM
10,68.5,°F,69,°F,-0.5,°F,1/26/2021 12:37:03 AM
11,68.5,°F,69,°F,-0.5,°F,1/26/2021 12:38:03 AM
12,68.6,°F,69,°F,-0.4,°F,1/26/2021 12:39:03 AM
13,68.7,°F,69,°F,-0.3,°F,1/26/2021 12:40:03 AM
14,68.7,°F,69,°F,-0.3,°F,1/26/2021 12:41:03 AM
15,68.7,°F,69,°F,-0.3,°F,1/26/2021 12:42:03 AM
16,68.7,°F,69.1,°F,-0.4,°F,1/26/2021 12:43:03 AM
17,68.7,°F,69.1,°F,-0.4,°F,1/26/2021 12:44:03 AM
18,68.7,°F,69.1,°F,-0.4,°F,1/26/2021 12:45:03 AM
19,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 12:46:03 AM
20,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 12:47:03 AM
21,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 12:48:03 AM
22,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 12:49:03 AM
23,68.8,°F,69.1,°F,-0.3,°F,1/26/2021 12:50:03 AM
24,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 12:51:03 AM
25,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:52:03 AM
26,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:53:03 AM
27,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:54:03 AM
28,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 12:55:03 AM
29,68.9,°F,69.2,°F,-0.3,°F,1/26/2021 12:56:03 AM
30,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:57:03 AM
31,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:58:03 AM
32,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 12:59:03 AM
33,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 1:00:03 AM
34,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 1:01:03 AM
35,68.9,°F,69.1,°F,-0.2,°F,1/26/2021 1:02:03 AM
36,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:03:03 AM
37,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:04:03 AM
38,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:05:03 AM
39,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:06:03 AM
40,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:07:03 AM
41,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:08:03 AM
42,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:09:03 AM
43,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:10:03 AM
44,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:11:03 AM
45,69,°F,69.1,°F,-0.1,°F,1/26/2021 1:12:03 AM
46,69,°F,69,°F,0,°F,1/26/2021 1:13:03 AM
47,69,°F,69,°F,0,°F,1/26/2021 1:14:03 AM
48,69,°F,69,°F,0,°F,1/26/2021 1:15:03 AM
49,69,°F,69,°F,0,°F,1/26/2021 1:16:03 AM
50,69.1,°F,69,°F,0.1,°F,1/26/2021 1:17:03 AM
51,69,°F,68.9,°F,0.1,°F,1/26/2021 1:18:03 AM
52,69,°F,68.9,°F,0.1,°F,1/26/2021 1:19:03 AM
53,69,°F,68.9,°F,0.1,°F,1/26/2021 1:20:03 AM
54,69,°F,68.9,°F,0.1,°F,1/26/2021 1:21:03 AM
55,69,°F,68.9,°F,0.1,°F,1/26/2021 1:22:03 AM
56,69,°F,68.9,°F,0.1,°F,1/26/2021 1:23:03 AM
57,69,°F,68.9,°F,0.1,°F,1/26/2021 1:24:03 AM
58,69,°F,68.9,°F,0.1,°F,1/26/2021 1:25:03 AM
59,69,°F,68.9,°F,0.1,°F,1/26/2021 1:26:03 AM
60,69,°F,68.9,°F,0.1,°F,1/26/2021 1:27:03 AM
61,69,°F,68.9,°F,0.1,°F,1/26/2021 1:28:03 AM
62,69,°F,68.8,°F,0.2,°F,1/26/2021 1:29:03 AM
63,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:30:03 AM
64,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:31:03 AM
65,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:32:03 AM
66,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:33:03 AM
67,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:34:03 AM
68,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:35:03 AM
69,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:36:03 AM
70,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:37:03 AM
71,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:38:03 AM
72,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:39:03 AM
73,68.9,°F,68.7,°F,0.2,°F,1/26/2021 1:40:03 AM
74,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:41:03 AM
75,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:42:03 AM
76,68.9,°F,68.9,°F,0,°F,1/26/2021 1:43:03 AM
77,68.9,°F,68.9,°F,0,°F,1/26/2021 1:44:03 AM
78,68.9,°F,68.9,°F,0,°F,1/26/2021 1:45:03 AM
79,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:46:03 AM
80,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:47:03 AM
81,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:48:03 AM
82,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:49:03 AM
83,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:50:03 AM
84,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:51:03 AM
85,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:52:03 AM
86,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:53:03 AM
87,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:54:03 AM
88,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:55:03 AM
89,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:56:03 AM
90,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:57:03 AM
91,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:58:03 AM
92,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:59:03 AM
93,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:00:03 AM
94,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:01:03 AM
95,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:02:03 AM
96,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:03:03 AM
97,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:04:03 AM
98,68.9,°F,68.9,°F,0,°F,1/26/2021 2:05:03 AM
99,68.9,°F,68.9,°F,0,°F,1/26/2021 2:06:03 AM
100,68.9,°F,68.9,°F,0,°F,1/26/2021 2:07:03 AM
101,68.9,°F,68.9,°F,0,°F,1/26/2021 2:08:03 AM
102,68.9,°F,68.9,°F,0,°F,1/26/2021 2:09:03 AM
103,68.9,°F,68.9,°F,0,°F,1/26/2021 2:10:03 AM
104,68.9,°F,68.9,°F,0,°F,1/26/2021 2:11:03 AM
105,68.9,°F,68.9,°F,0,°F,1/26/2021 2:12:03 AM
106,68.9,°F,68.9,°F,0,°F,1/26/2021 2:13:03 AM
107,68.9,°F,68.9,°F,0,°F,1/26/2021 2:14:03 AM
108,68.9,°F,68.9,°F,0,°F,1/26/2021 2:15:03 AM
109,68.9,°F,68.9,°F,0,°F,1/26/2021 2:16:03 AM
110,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:17:03 AM
